Preis_in_Euro,Kilometerstand_in_km,Hubraum_in_cm3,Leistung_in_PS,Kraftstoffart,Getriebe,Erstzulassung,HU
17930         , 4666                 , 1197           , 110            , Benzin        , Schaltgetriebe , Sep16         , Neu
18960         , 39044                , 1598           , 110            , Diesel        , Automatik      , Nov16         , Neu
20430         , 29243                , 1598           , 110            , Diesel        , Automatik      , Jul16         , Neu
19930         , 14662                , 1598           , 110            , Diesel        , Schaltgetriebe , Jul16         , Neu
13999         , 23407                , 1197           , 86             , Benzin        , Schaltgetriebe , Jul16         , Jul19
13949         , 52311                , 1197           , 105            , Benzin        , Schaltgetriebe , Sep13         , Nov18
1250          , 117000               , 1800           , 75             , Benzin        , Schaltgetriebe , Jan92         , Neu
12950         , 87564                , 1984           , 211            , Benzin        , Schaltgetriebe , Apr10         , Mrz19
17390         , 27980                , 1395           , 150            , Benzin        , Automatik      , Sep14         , Sep17
8800          , 117700               , 1400           , 160            , Benzin        , Schaltgetriebe , Mrz09         , Mrz09
1300          , 265000               , 1896           , 90             , Diesel        , Schaltgetriebe , Feb99         , Feb19
6250          , 113000               , 1968           , 140            , Diesel        , Schaltgetriebe , Jun07         , Jul18
16570         , 7345                 , 1197           , 110            , Benzin        , Schaltgetriebe , Jun16         , Jun19
27470         , 1081                 , 1984           , 230            , Benzin        , Schaltgetriebe , Aug17         , Aug20
2999          , 179000               , 1598           , 116            , Benzin        , Schaltgetriebe , Dez04         , Nov17
15650         , 138500               , 1984           , 230            , Benzin        , Automatik      , Mrz08         , Mrz18
5850          , 200000               , 1968           , 110            , Diesel        , Schaltgetriebe , Apr09         , Jun18
7990          , 75000                , 1968           , 140            , Diesel        , Schaltgetriebe , Aug08         , Aug19
3690          , 55146                , 1390           , 75             , Benzin        , Schaltgetriebe , Okt02         , Neu
21840         , 7270                 , 1395           , 125            , Benzin        , Schaltgetriebe , Nov16         , Nov19
1960          , 225853               , 1390           , 75             , Benzin        , Schaltgetriebe , Jun02         , Aug19
13980         , 66000                , 1598           , 105            , Diesel        , Schaltgetriebe , Aug14         , Neu
6999          , 113000               , 1598           , 102            , Benzin        , Schaltgetriebe , Jan10         , Mai15
13900         , 97450                , 1197           , 105            , Benzin        , Automatik      , Mai13         , Neu
1499          , 185000               , 1390           , 60             , Benzin        , Schaltgetriebe , Apr96         , Sep19
5950          , 145000               , 1598           , 102            , Benzin        , Schaltgetriebe , Jul09         , Aug18
6490          , 200500               , 1598           , 105            , Diesel        , Schaltgetriebe , Jan10         , Dez18
6600          , 93919                , 1390           , 80             , Benzin        , Schaltgetriebe , Feb09         , Mrz19
6599          , 150000               , 1984           , 200            , Benzin        , Schaltgetriebe , Nov07         , Mrz18
30899         , 25857                , 1984           , 230            , Benzin        , Automatik      , Mai16         , Mai19
30449         , 22344                , 1984           , 230            , Benzin        , Automatik      , Aug16         , Aug19
1791          , 175000               , 1595           , 101            , Benzin        , Schaltgetriebe , Jan99         , Neu
14889         , 71684                , 1395           , 140            , Benzin        , Schaltgetriebe , Apr13         , Neu
3900          , 147000               , 1968           , 140            , Diesel        , Schaltgetriebe , Apr05         , Apr18
16949         , 12000                , 1197           , 86             , Benzin        , Schaltgetriebe , Aug16         , Aug19
2790          , 308000               , 1896           , 90             , Diesel        , Schaltgetriebe , Sep00         , Okt17
16500         , 81000                , 1984           , 211            , Benzin        , Automatik      , Feb10         , Apr18
850           , 226000               , 1595           , 101            , Benzin        , Schaltgetriebe , Mai98         , Mai18
27980         , 9940                 , 1984           , 220            , Benzin        , Schaltgetriebe , Okt16         , Okt19
6800          , 130000               , 1390           , 122            , Benzin        , Schaltgetriebe , Nov07         , Sep18
7999          , 133400               , 1390           , 140            , Benzin        , Schaltgetriebe , Jul08         , Aug19
999           , 237350               , 1390           , 75             , Benzin        , Schaltgetriebe , Mai98         , Feb19
14500         , 31000                , 1598           , 110            , Diesel        , Schaltgetriebe , Dez15         , Dez18
8499          , 150000               , 1984           , 200            , Benzin        , Automatik      , Aug05         , Mai19
18991         , 6476                 , 1197           , 110            , Benzin        , Schaltgetriebe , Okt16         , Neu
18991         , 19865                , 1968           , 150            , Diesel        , Schaltgetriebe , Aug16         , Neu
1200          , 132500               , 1390           , 75             , Benzin        , Schaltgetriebe , Sep98         , Sep19
7900          , 50000                , 1390           , 160            , Benzin        , Schaltgetriebe , Sep09         , Neu
17980         , 58541                , 1968           , 184            , Diesel        , Schaltgetriebe , Sep13         , Sep18
14980         , 53255                , 1968           , 150            , Diesel        , Schaltgetriebe , Sep13         , Aug18
14490         , 42071                , 1197           , 86             , Benzin        , Schaltgetriebe , Aug14         , Neu
9500          , 73000                , 1598           , 105            , Diesel        , Schaltgetriebe , Aug12         , Sep19
9400          , 138000               , 1390           , 160            , Benzin        , Schaltgetriebe , Dez10         , Okt19
4200          , 143000               , 1390           , 80             , Benzin        , Schaltgetriebe , Aug08         , Jul19
4100          , 86000                , 1390           , 122            , Benzin        , Schaltgetriebe , Apr08         , Jun19
29699         , 29500                , 1984           , 265            , Benzin        , Automatik      , Jul16         , Mai19
24890         , 29800                , 1984           , 230            , Benzin        , Schaltgetriebe , Mrz15         , Mrz18
2448          , 265591               , 1896           , 101            , Diesel        , Schaltgetriebe , Aug02         , Sep17
17680         , 40835                , 1395           , 140            , Benzin        , Automatik      , Sep13         , Neu
13489         , 36646                , 1197           , 86             , Benzin        , Schaltgetriebe , Sep13         , Neu
999           , 212643               , 1595           , 101            , Benzin        , Schaltgetriebe , Okt98         , Jul19
15830         , 6300                 , 1197           , 86             , Benzin        , Schaltgetriebe , Jun16         , Neu
10000         , 68555                , 1197           , 86             , Benzin        , Schaltgetriebe , Jan12         , Okt17
8950          , 190500               , 1984           , 299            , Benzin        , Automatik      , Apr07         , Mrz19
9990          , 89328                , 1390           , 122            , Benzin        , Schaltgetriebe , Mai12         , Neu
1699          , 143900               , 1390           , 75             , Benzin        , Schaltgetriebe , Sep98         , Neu
16000         , 121000               , 3189           , 250            , Benzin        , Automatik      , Nov07         , Jul19
3900          , 167000               , 1595           , 102            , Benzin        , Schaltgetriebe , Nov04         , Sep19
250           , 250000               , 1598           , 75             , Benzin        , Schaltgetriebe , Jun96         , Sep17
8200          , 60000                , 1197           , 86             , Benzin        , Schaltgetriebe , Nov10         , Dez17
11500         , 88000                , 1984           , 211            , Benzin        , Schaltgetriebe , Mai09         , Sep18
1600          , 165200               , 1598           , 105            , Benzin        , Schaltgetriebe , Mai01         , Sep18
17430         , 9311                 , 1197           , 86             , Benzin        , Schaltgetriebe , Jul16         , Jul19
1699          , 254000               , 1390           , 75             , Benzin        , Schaltgetriebe , Mrz03         , Feb18
7700          , 79999                , 1390           , 80             , Benzin        , Schaltgetriebe , Sep09         , Nov18
29699         , 29500                , 1984           , 265            , Benzin        , Automatik      , Jul16         , Mai19
989           , 185000               , 1390           , 75             , Benzin        , Schaltgetriebe , Mrz01         , Okt17
2800          , 155000               , 1896           , 101            , Diesel        , Schaltgetriebe , Apr03         , Feb18
5400          , 97600                , 1390           , 80             , Benzin        , Schaltgetriebe , Dez06         , Dez18
10450         , 163000               , 1968           , 150            , Diesel        , Schaltgetriebe , Dez13         , Dez18
10990         , 100000               , 1390           , 160            , Benzin        , Automatik      , Sep10         , Mrz19
5750          , 186000               , 1598           , 105            , Diesel        , Schaltgetriebe , Jan10         , Mai19
9000          , 55000                , 1197           , 86             , Benzin        , Schaltgetriebe , Jan11         , Jun18
